timestamp,speed,gps,voltage,temperature,current,battery,mileage,pwm,power
1738663446.738,1,0,146,31,0,89,0,3,6
1738663446.738,1,0,146,31,0,89,0,3,6
1738663446.738,1,0,146,31,0,89,0,3,6
1738663446.738,1,0,146,31,0,89,0,3,6
1738663446.738,1,0,146,31,0,89,0,3,6
1738663447.537,0,0,146,31,0,89,0,0,0
1738663447.537,0,0,146,31,0,89,0,0,0
1738663447.537,0,0,146,31,0,89,0,0,0
1738663447.537,0,0,146,31,0,89,0,0,0
1738663448.135,0,0,146,31,0,89,0,1,1
1738663448.135,0,0,146,31,0,89,0,1,1
1738663448.135,0,0,146,31,0,89,0,1,1
1738663448.758,0,0,146,31,0,89,0,2,7
1738663448.758,0,0,146,31,0,89,0,2,7
1738663448.758,0,0,146,31,0,89,0,2,7
1738663449.357,0,0,146,31,0,89,0,0,0
1738663449.357,0,0,146,31,0,89,0,0,0
1738663449.357,0,0,146,31,0,89,0,0,0
1738663449.956,0,0,146,31,0,89,0,2,1
1738663449.956,0,0,146,31,0,89,0,2,1
1738663449.956,0,0,146,31,0,89,0,2,1
1738663450.558,0,0,146,31,0,89,0,0,0
1738663450.558,0,0,146,31,0,89,0,0,0
1738663450.558,0,0,146,31,0,89,0,0,0
1738663451.157,0,0,146,31,0,89,0,2,3
1738663451.157,0,0,146,31,0,89,0,2,3
1738663451.157,0,0,146,31,0,89,0,2,3
1738663451.78,0,0,146,31,0,89,0,0,0
1738663451.78,0,0,146,31,0,89,0,0,0
1738663451.78,0,0,146,31,0,89,0,0,0
1738663452.364,0,0,146,31,0,89,0,0,0
1738663452.364,0,0,146,31,0,89,0,0,0
1738663452.364,0,0,146,31,0,89,0,0,0
1738663452.975,0,0,146,31,0,88,0,0,0
1738663452.975,0,0,146,31,0,88,0,0,0
1738663452.975,0,0,146,31,0,88,0,0,0
1738663453.575,0,0,146,31,0,89,0,2,4
1738663453.575,0,0,146,31,0,89,0,2,4
1738663453.575,0,0,146,31,0,89,0,2,4
1738663454.176,0,0,146,31,0,89,0,3,7
1738663454.176,0,0,146,31,0,89,0,3,7
1738663454.176,0,0,146,31,0,89,0,3,7
1738663454.781,0,0,146,31,0,89,0,1,0
1738663454.781,0,0,146,31,0,89,0,1,0
1738663454.781,0,0,146,31,0,89,0,1,0
1738663455.378,0,0,146,31,0,89,0,1,0
1738663455.378,0,0,146,31,0,89,0,1,0
1738663455.378,0,0,146,31,0,89,0,1,0
1738663455.998,0,0,146,31,0,89,0,2,3
1738663455.998,0,0,146,31,0,89,0,2,3
1738663455.998,0,0,146,31,0,89,0,2,3
1738663456.595,0,0,146,31,0,89,0,2,6
1738663456.595,0,0,146,31,0,89,0,2,6
1738663456.595,0,0,146,31,0,89,0,2,6
1738663457.249,0,0,146,31,0,89,0,2,3
1738663457.249,0,0,146,31,0,89,0,2,3
1738663457.795,0,0,146,31,0,89,0,2,3
1738663457.795,0,0,146,31,0,89,0,2,3
1738663457.795,0,0,146,31,0,89,0,2,3
1738663458.424,0,0,146,31,0,89,0,2,3
1738663458.424,0,0,146,31,0,89,0,2,3
1738663458.424,0,0,146,31,0,89,0,2,3
1738663459.015,0,0,146,31,0,89,0,2,3
1738663459.015,0,0,146,31,0,89,0,2,3
1738663459.015,0,0,146,31,0,89,0,2,3
1738663459.615,0,0,146,31,0,89,0,3,9
1738663459.615,0,0,146,31,0,89,0,3,9
1738663459.615,0,0,146,31,0,89,0,3,9
1738663460.216,0,0,146,31,0,89,0,2,6
1738663460.216,0,0,146,31,0,89,0,2,6
1738663460.216,0,0,146,31,0,89,0,2,6
1738663460.816,0,0,146,31,0,88,0,3,10
1738663460.816,0,0,146,31,0,88,0,3,10
1738663460.816,0,0,146,31,0,88,0,3,10
1738663461.435,0,0,146,31,0,89,0,3,10
1738663461.435,0,0,146,31,0,89,0,3,10
1738663461.435,0,0,146,31,0,89,0,3,10
1738663462.017,0,0,146,31,0,89,0,2,6
1738663462.017,0,0,146,31,0,89,0,2,6
1738663462.017,0,0,146,31,0,89,0,2,6
1738663462.635,0,0,146,31,0,89,0,2,4
1738663462.635,0,0,146,31,0,89,0,2,4
1738663462.635,0,0,146,31,0,89,0,2,4
1738663463.234,0,0,146,31,0,89,0,2,3
1738663463.234,0,0,146,31,0,89,0,2,3
1738663463.234,0,0,146,31,0,89,0,2,3
1738663463.836,0,0,146,31,0,89,0,2,3
1738663463.836,0,0,146,31,0,89,0,2,3
1738663463.836,0,0,146,31,0,89,0,2,3
1738663464.437,0,0,146,31,0,89,0,2,1
1738663464.437,0,0,146,31,0,89,0,2,1
1738663464.437,0,0,146,31,0,89,0,2,1
1738663465.039,0,0,146,31,0,88,0,1,1
1738663465.039,0,0,146,31,0,88,0,1,1
1738663465.039,0,0,146,31,0,88,0,1,1
1738663465.656,0,0,146,31,0,89,0,1,0
1738663465.656,0,0,146,31,0,89,0,1,0
1738663465.656,0,0,146,31,0,89,0,1,0
1738663466.304,0,0,146,31,0,89,0,2,4
1738663466.304,0,0,146,31,0,89,0,2,4
1738663466.304,0,0,146,31,0,89,0,2,4
1738663466.856,0,0,146,31,0,89,0,3,7
1738663466.856,0,0,146,31,0,89,0,3,7
1738663466.856,0,0,146,31,0,89,0,3,7
1738663467.457,0,0,146,31,0,89,0,2,3
1738663467.457,0,0,146,31,0,89,0,2,3
1738663467.457,0,0,146,31,0,89,0,2,3
1738663468.076,0,0,146,32,0,89,0,3,9
1738663468.076,0,0,146,32,0,89,0,3,9
1738663468.076,0,0,146,32,0,89,0,3,9
1738663468.72,0,0,146,32,0,88,0,2,4
1738663468.72,0,0,146,32,0,88,0,2,4
1738663468.72,0,0,146,32,0,88,0,2,4
1738663469.509,0,0,146,32,0,89,0,3,10
1738663469.509,0,0,146,32,0,89,0,3,10
1738663469.509,0,0,146,32,0,89,0,3,10
1738663469.509,0,0,146,32,0,89,0,3,10
1738663470.077,0,0,146,32,0,88,0,3,9
1738663470.077,0,0,146,32,0,88,0,3,9
1738663470.077,0,0,146,32,0,88,0,3,9
1738663470.711,0,0,146,32,0,89,0,3,6
1738663470.711,0,0,146,32,0,89,0,3,6
1738663470.711,0,0,146,32,0,89,0,3,6
1738663471.294,0,0,146,32,0,89,0,3,10
1738663471.294,0,0,146,32,0,89,0,3,10
1738663471.294,0,0,146,32,0,89,0,3,10
1738663471.895,0,0,146,32,0,89,0,3,13
1738663471.895,0,0,146,32,0,89,0,3,13
1738663471.895,0,0,146,32,0,89,0,3,13
1738663472.498,0,0,146,32,0,88,0,4,31
1738663472.498,0,0,146,32,0,88,0,4,31
1738663472.498,0,0,146,32,0,88,0,4,31
1738663473.101,1,0,146,32,0,89,0,1,1
1738663473.101,1,0,146,32,0,89,0,1,1
1738663473.101,1,0,146,32,0,89,0,1,1
1738663473.719,0,0,146,32,0,88,0,3,7
1738663473.719,0,0,146,32,0,88,0,3,7
1738663473.719,0,0,146,32,0,88,0,3,7
1738663474.316,0,0,146,32,0,89,0,4,34
1738663474.316,0,0,146,32,0,89,0,4,34
1738663474.316,0,0,146,32,0,89,0,4,34
1738663474.905,1,0,146,32,1,88,0,6,82
1738663474.905,1,0,146,32,1,88,0,6,82
1738663474.905,1,0,146,32,1,88,0,6,82
1738663475.519,4,0,146,32,0,88,0,5,3
1738663475.519,4,0,146,32,0,88,0,5,3
1738663475.519,4,0,146,32,0,88,0,5,3
1738663476.118,5,0,146,32,0,88,0,8,57
1738663476.118,5,0,146,32,0,88,0,8,57
1738663476.118,5,0,146,32,0,88,0,8,57
1738663476.722,5,0,146,32,0,88,0,8,38
1738663476.722,5,0,146,32,0,88,0,8,38
1738663476.722,5,0,146,32,0,88,0,8,38
1738663477.317,6,0,146,32,0,88,0,8,31
1738663477.317,6,0,146,32,0,88,0,8,31
1738663477.317,6,0,146,32,0,88,0,8,31
1738663477.92,5,0,146,32,0,88,0,2,3
